id	text_id	id_in_text	offset_start	offset_end	y_value	y_predict	X_text
34	009a49ab1cdf44be9fbfdb26377c9a68	46	206	207	I-RESPONDENT	O	U
35	009a49ab1cdf44be9fbfdb26377c9a68	47	208	209	I-RESPONDENT	O	P
36	009a49ab1cdf44be9fbfdb26377c9a68	49	214	216	O	O	10
37	009a49ab1cdf44be9fbfdb26377c9a68	52	226	233	O	O	Counsel
38	009a49ab1cdf44be9fbfdb26377c9a68	54	238	248	O	O	Petitioner
39	009a49ab1cdf44be9fbfdb26377c9a68	57	252	256	B-LAWYER	B-LAWYER	Ajay
40	009a49ab1cdf44be9fbfdb26377c9a68	58	257	262	I-LAWYER	I-LAWYER	Kumar
41	009a49ab1cdf44be9fbfdb26377c9a68	59	263	268	I-LAWYER	I-LAWYER	Singh
42	009a49ab1cdf44be9fbfdb26377c9a68	61	269	275	I-LAWYER	I-LAWYER	Ashish
43	009a49ab1cdf44be9fbfdb26377c9a68	62	276	281	I-LAWYER	I-LAWYER	Kumar
44	009a49ab1cdf44be9fbfdb26377c9a68	63	282	287	I-LAWYER	I-LAWYER	Singh
45	009a49ab1cdf44be9fbfdb26377c9a68	65	290	297	O	O	Counsel
46	009a49ab1cdf44be9fbfdb26377c9a68	67	302	312	O	O	Respondent
47	009a49ab1cdf44be9fbfdb26377c9a68	70	316	327	B-LAWYER	O	C.S.C.,P.K.
48	009a49ab1cdf44be9fbfdb26377c9a68	71	328	336	I-LAWYER	O	Upadhyay
49	009a49ab1cdf44be9fbfdb26377c9a68	73	337	343	I-LAWYER	O	Vineet
50	009a49ab1cdf44be9fbfdb26377c9a68	74	344	351	I-LAWYER	O	Sankalp
51	009a49ab1cdf44be9fbfdb26377c9a68	78	361	365	O	O	Case
52	009a49ab1cdf44be9fbfdb26377c9a68	81	369	373	O	O	Writ
53	009a49ab1cdf44be9fbfdb26377c9a68	83	376	377	O	O	C
54	009a49ab1cdf44be9fbfdb26377c9a68	87	384	389	O	O	12768
55	009a49ab1cdf44be9fbfdb26377c9a68	89	393	397	O	O	2019
56	009a49ab1cdf44be9fbfdb26377c9a68	91	400	410	O	O	Petitioner
57	009a49ab1cdf44be9fbfdb26377c9a68	94	414	422	B-PETITIONER	B-PETITIONER	Rajendra
58	009a49ab1cdf44be9fbfdb26377c9a68	95	423	433	I-PETITIONER	I-PETITIONER	Maheshwari
59	009a49ab1cdf44be9fbfdb26377c9a68	97	436	446	O	O	Respondent
60	009a49ab1cdf44be9fbfdb26377c9a68	100	450	455	B-RESPONDENT	O	State
61	009a49ab1cdf44be9fbfdb26377c9a68	102	459	460	I-RESPONDENT	O	U
62	009a49ab1cdf44be9fbfdb26377c9a68	103	461	462	I-RESPONDENT	O	P
63	009a49ab1cdf44be9fbfdb26377c9a68	105	467	469	O	O	10
64	009a49ab1cdf44be9fbfdb26377c9a68	108	479	486	O	O	Counsel
65	009a49ab1cdf44be9fbfdb26377c9a68	110	491	501	O	O	Petitioner
66	009a49ab1cdf44be9fbfdb26377c9a68	113	505	509	B-LAWYER	B-LAWYER	Ajay
67	009a49ab1cdf44be9fbfdb26377c9a68	114	510	515	I-LAWYER	I-LAWYER	Kumar
68	009a49ab1cdf44be9fbfdb26377c9a68	115	516	521	I-LAWYER	I-LAWYER	Singh
69	009a49ab1cdf44be9fbfdb26377c9a68	117	522	528	I-LAWYER	I-LAWYER	Ashish
70	009a49ab1cdf44be9fbfdb26377c9a68	118	529	534	I-LAWYER	I-LAWYER	Kumar
71	009a49ab1cdf44be9fbfdb26377c9a68	119	535	540	I-LAWYER	I-LAWYER	Singh
72	009a49ab1cdf44be9fbfdb26377c9a68	121	543	550	O	O	Counsel
73	009a49ab1cdf44be9fbfdb26377c9a68	123	555	565	O	O	Respondent
74	009a49ab1cdf44be9fbfdb26377c9a68	126	569	580	B-LAWYER	O	C.S.C.,P.K.
75	009a49ab1cdf44be9fbfdb26377c9a68	127	581	589	I-LAWYER	O	Upadhyay
76	009a49ab1cdf44be9fbfdb26377c9a68	129	590	596	I-LAWYER	O	Vineet
77	009a49ab1cdf44be9fbfdb26377c9a68	130	597	604	I-LAWYER	O	Sankalp
78	009a49ab1cdf44be9fbfdb26377c9a68	134	614	618	O	O	Case
79	009a49ab1cdf44be9fbfdb26377c9a68	137	622	626	O	O	Writ
80	009a49ab1cdf44be9fbfdb26377c9a68	139	629	630	O	O	C
81	009a49ab1cdf44be9fbfdb26377c9a68	143	637	642	O	O	12817
82	009a49ab1cdf44be9fbfdb26377c9a68	145	646	650	O	O	2019
83	009a49ab1cdf44be9fbfdb26377c9a68	147	653	663	O	O	Petitioner
84	009a49ab1cdf44be9fbfdb26377c9a68	150	667	673	B-PETITIONER	B-PETITIONER	Sohrab
85	009a49ab1cdf44be9fbfdb26377c9a68	151	674	679	I-PETITIONER	I-PETITIONER	Ahmad
86	009a49ab1cdf44be9fbfdb26377c9a68	153	682	692	O	O	Respondent
87	009a49ab1cdf44be9fbfdb26377c9a68	156	696	701	B-RESPONDENT	B-RESPONDENT	State
88	009a49ab1cdf44be9fbfdb26377c9a68	158	705	709	I-RESPONDENT	I-RESPONDENT	U.P.
89	009a49ab1cdf44be9fbfdb26377c9a68	160	714	716	O	O	10
90	009a49ab1cdf44be9fbfdb26377c9a68	163	726	733	O	O	Counsel
91	009a49ab1cdf44be9fbfdb26377c9a68	165	738	748	O	O	Petitioner
92	009a49ab1cdf44be9fbfdb26377c9a68	168	752	756	B-LAWYER	B-LAWYER	Ajay
93	009a49ab1cdf44be9fbfdb26377c9a68	169	757	762	I-LAWYER	I-LAWYER	Kumar
94	009a49ab1cdf44be9fbfdb26377c9a68	170	763	768	I-LAWYER	I-LAWYER	Singh
95	009a49ab1cdf44be9fbfdb26377c9a68	172	769	775	I-LAWYER	I-LAWYER	Ashish
96	009a49ab1cdf44be9fbfdb26377c9a68	173	776	781	I-LAWYER	I-LAWYER	Kumar
97	009a49ab1cdf44be9fbfdb26377c9a68	174	782	787	I-LAWYER	I-LAWYER	Singh
98	009a49ab1cdf44be9fbfdb26377c9a68	176	790	797	O	O	Counsel
99	009a49ab1cdf44be9fbfdb26377c9a68	178	802	812	O	O	Respondent
100	009a49ab1cdf44be9fbfdb26377c9a68	181	816	827	O	O	C.S.C.,P.K.
101	009a49ab1cdf44be9fbfdb26377c9a68	182	828	836	B-LAWYER	O	Upadhyay
102	009a49ab1cdf44be9fbfdb26377c9a68	184	837	843	I-LAWYER	O	Vineet
103	009a49ab1cdf44be9fbfdb26377c9a68	185	844	851	I-LAWYER	O	Sankalp
104	009a49ab1cdf44be9fbfdb26377c9a68	189	861	865	O	O	Case
105	009a49ab1cdf44be9fbfdb26377c9a68	192	869	873	O	O	Writ
106	009a49ab1cdf44be9fbfdb26377c9a68	194	876	877	O	O	C
107	009a49ab1cdf44be9fbfdb26377c9a68	198	884	889	O	O	12821
108	009a49ab1cdf44be9fbfdb26377c9a68	200	893	897	O	O	2019
109	009a49ab1cdf44be9fbfdb26377c9a68	202	900	910	O	O	Petitioner
110	009a49ab1cdf44be9fbfdb26377c9a68	205	914	919	B-PETITIONER	B-PETITIONER	Durga
111	009a49ab1cdf44be9fbfdb26377c9a68	206	920	926	I-PETITIONER	I-PETITIONER	Prasad
112	009a49ab1cdf44be9fbfdb26377c9a68	207	927	935	I-PETITIONER	I-PETITIONER	Baranwal
113	009a49ab1cdf44be9fbfdb26377c9a68	211	950	960	O	O	Respondent
114	009a49ab1cdf44be9fbfdb26377c9a68	214	964	969	B-RESPONDENT	B-RESPONDENT	State
115	009a49ab1cdf44be9fbfdb26377c9a68	216	973	977	I-RESPONDENT	I-RESPONDENT	U.P.
116	009a49ab1cdf44be9fbfdb26377c9a68	218	982	984	O	O	10
117	009a49ab1cdf44be9fbfdb26377c9a68	221	994	1001	O	O	Counsel
118	009a49ab1cdf44be9fbfdb26377c9a68	223	1006	1016	O	O	Petitioner
119	009a49ab1cdf44be9fbfdb26377c9a68	226	1020	1024	B-LAWYER	B-LAWYER	Ajay
120	009a49ab1cdf44be9fbfdb26377c9a68	227	1025	1030	I-LAWYER	I-LAWYER	Kumar
121	009a49ab1cdf44be9fbfdb26377c9a68	228	1031	1036	I-LAWYER	I-LAWYER	Singh
122	009a49ab1cdf44be9fbfdb26377c9a68	230	1037	1043	I-LAWYER	I-LAWYER	Ashish
123	009a49ab1cdf44be9fbfdb26377c9a68	231	1044	1049	I-LAWYER	I-LAWYER	Kumar
124	009a49ab1cdf44be9fbfdb26377c9a68	232	1050	1055	I-LAWYER	I-LAWYER	Singh
125	009a49ab1cdf44be9fbfdb26377c9a68	234	1058	1065	O	O	Counsel
126	009a49ab1cdf44be9fbfdb26377c9a68	236	1070	1080	O	O	Respondent
127	009a49ab1cdf44be9fbfdb26377c9a68	239	1084	1095	B-LAWYER	O	C.S.C.,P.K.
128	009a49ab1cdf44be9fbfdb26377c9a68	240	1096	1104	I-LAWYER	O	Upadhyay
129	009a49ab1cdf44be9fbfdb26377c9a68	242	1105	1111	I-LAWYER	O	Vineet
130	009a49ab1cdf44be9fbfdb26377c9a68	243	1112	1119	I-LAWYER	O	Sankalp
131	009a49ab1cdf44be9fbfdb26377c9a68	247	1132	1136	O	O	Case
132	009a49ab1cdf44be9fbfdb26377c9a68	250	1140	1144	O	O	Writ
133	009a49ab1cdf44be9fbfdb26377c9a68	252	1147	1148	O	O	C
134	009a49ab1cdf44be9fbfdb26377c9a68	256	1155	1160	O	O	12837
135	009a49ab1cdf44be9fbfdb26377c9a68	258	1164	1168	O	O	2019
136	009a49ab1cdf44be9fbfdb26377c9a68	260	1171	1181	O	O	Petitioner
137	009a49ab1cdf44be9fbfdb26377c9a68	263	1185	1191	B-PETITIONER	B-PETITIONER	Ashish
138	009a49ab1cdf44be9fbfdb26377c9a68	264	1192	1199	I-PETITIONER	I-PETITIONER	Agarwal
139	009a49ab1cdf44be9fbfdb26377c9a68	268	1214	1224	O	O	Respondent
140	009a49ab1cdf44be9fbfdb26377c9a68	271	1228	1233	B-RESPONDENT	B-RESPONDENT	State
141	009a49ab1cdf44be9fbfdb26377c9a68	273	1237	1241	I-RESPONDENT	I-RESPONDENT	U.P.
142	009a49ab1cdf44be9fbfdb26377c9a68	275	1246	1248	O	O	10
143	009a49ab1cdf44be9fbfdb26377c9a68	278	1258	1265	O	O	Counsel
144	009a49ab1cdf44be9fbfdb26377c9a68	280	1270	1280	O	O	Petitioner
145	009a49ab1cdf44be9fbfdb26377c9a68	283	1284	1288	B-LAWYER	B-LAWYER	Ajay
146	009a49ab1cdf44be9fbfdb26377c9a68	284	1289	1294	I-LAWYER	I-LAWYER	Kumar
147	009a49ab1cdf44be9fbfdb26377c9a68	285	1295	1300	I-LAWYER	I-LAWYER	Singh
148	009a49ab1cdf44be9fbfdb26377c9a68	287	1301	1307	I-LAWYER	I-LAWYER	Ashish
149	009a49ab1cdf44be9fbfdb26377c9a68	288	1308	1313	I-LAWYER	I-LAWYER	Kumar
150	009a49ab1cdf44be9fbfdb26377c9a68	289	1314	1319	I-LAWYER	I-LAWYER	Singh
151	009a49ab1cdf44be9fbfdb26377c9a68	291	1322	1329	O	O	Counsel
152	009a49ab1cdf44be9fbfdb26377c9a68	293	1334	1344	O	O	Respondent
153	009a49ab1cdf44be9fbfdb26377c9a68	296	1348	1359	B-LAWYER	O	C.S.C.,P.K.
154	009a49ab1cdf44be9fbfdb26377c9a68	297	1360	1368	I-LAWYER	O	Upadhyay
155	009a49ab1cdf44be9fbfdb26377c9a68	299	1369	1375	I-LAWYER	O	Vineet
156	009a49ab1cdf44be9fbfdb26377c9a68	300	1376	1383	I-LAWYER	O	Sankalp
157	009a49ab1cdf44be9fbfdb26377c9a68	304	1393	1397	O	O	Case
158	009a49ab1cdf44be9fbfdb26377c9a68	307	1401	1405	O	O	Writ
159	009a49ab1cdf44be9fbfdb26377c9a68	309	1408	1409	O	O	C
160	009a49ab1cdf44be9fbfdb26377c9a68	313	1416	1421	O	O	12876
161	009a49ab1cdf44be9fbfdb26377c9a68	315	1425	1429	O	O	2019
162	009a49ab1cdf44be9fbfdb26377c9a68	317	1432	1442	O	O	Petitioner
163	009a49ab1cdf44be9fbfdb26377c9a68	320	1446	1453	B-PETITIONER	B-PETITIONER	Santosh
164	009a49ab1cdf44be9fbfdb26377c9a68	321	1454	1459	I-PETITIONER	I-PETITIONER	Kumar
165	009a49ab1cdf44be9fbfdb26377c9a68	322	1460	1469	I-PETITIONER	I-PETITIONER	Chaurasia
166	009a49ab1cdf44be9fbfdb26377c9a68	324	1474	1475	O	O	3
167	009a49ab1cdf44be9fbfdb26377c9a68	327	1485	1495	O	O	Respondent
168	009a49ab1cdf44be9fbfdb26377c9a68	330	1499	1504	B-RESPONDENT	B-RESPONDENT	State
169	009a49ab1cdf44be9fbfdb26377c9a68	332	1508	1512	I-RESPONDENT	I-RESPONDENT	U.P.
170	009a49ab1cdf44be9fbfdb26377c9a68	334	1517	1519	O	O	10
171	009a49ab1cdf44be9fbfdb26377c9a68	337	1529	1536	O	O	Counsel
172	009a49ab1cdf44be9fbfdb26377c9a68	339	1541	1551	O	O	Petitioner
173	009a49ab1cdf44be9fbfdb26377c9a68	342	1555	1559	B-LAWYER	B-LAWYER	Ajay
174	009a49ab1cdf44be9fbfdb26377c9a68	343	1560	1565	I-LAWYER	I-LAWYER	Kumar
175	009a49ab1cdf44be9fbfdb26377c9a68	344	1566	1571	I-LAWYER	I-LAWYER	Singh
176	009a49ab1cdf44be9fbfdb26377c9a68	346	1572	1578	I-LAWYER	I-LAWYER	Ashish
177	009a49ab1cdf44be9fbfdb26377c9a68	347	1579	1584	I-LAWYER	I-LAWYER	Kumar
178	009a49ab1cdf44be9fbfdb26377c9a68	348	1585	1590	I-LAWYER	I-LAWYER	Singh
179	009a49ab1cdf44be9fbfdb26377c9a68	350	1593	1600	O	O	Counsel
180	009a49ab1cdf44be9fbfdb26377c9a68	352	1605	1615	O	O	Respondent
181	009a49ab1cdf44be9fbfdb26377c9a68	355	1619	1630	B-LAWYER	O	C.S.C.,P.K.
182	009a49ab1cdf44be9fbfdb26377c9a68	356	1631	1639	I-LAWYER	O	Upadhyay
183	009a49ab1cdf44be9fbfdb26377c9a68	358	1640	1646	I-LAWYER	O	Vineet
184	009a49ab1cdf44be9fbfdb26377c9a68	359	1647	1654	I-LAWYER	O	Sankalp
185	009a49ab1cdf44be9fbfdb26377c9a68	363	1664	1668	O	O	Case
186	009a49ab1cdf44be9fbfdb26377c9a68	366	1672	1676	O	O	Writ
187	009a49ab1cdf44be9fbfdb26377c9a68	368	1679	1680	O	O	C
188	009a49ab1cdf44be9fbfdb26377c9a68	372	1687	1692	O	O	12877
189	009a49ab1cdf44be9fbfdb26377c9a68	374	1696	1700	O	O	2019
190	009a49ab1cdf44be9fbfdb26377c9a68	376	1703	1713	O	O	Petitioner
191	009a49ab1cdf44be9fbfdb26377c9a68	379	1717	1723	B-PETITIONER	B-PETITIONER	Ishwar
192	009a49ab1cdf44be9fbfdb26377c9a68	380	1724	1731	I-PETITIONER	I-PETITIONER	Chandra
193	009a49ab1cdf44be9fbfdb26377c9a68	381	1732	1736	I-PETITIONER	I-PETITIONER	Giri
194	009a49ab1cdf44be9fbfdb26377c9a68	385	1751	1761	O	O	Respondent
195	009a49ab1cdf44be9fbfdb26377c9a68	388	1765	1770	B-RESPONDENT	O	State
196	009a49ab1cdf44be9fbfdb26377c9a68	390	1774	1775	I-RESPONDENT	O	U
197	009a49ab1cdf44be9fbfdb26377c9a68	391	1776	1777	I-RESPONDENT	O	P
198	009a49ab1cdf44be9fbfdb26377c9a68	393	1782	1784	O	O	10
199	009a49ab1cdf44be9fbfdb26377c9a68	396	1794	1801	O	O	Counsel
200	009a49ab1cdf44be9fbfdb26377c9a68	398	1806	1816	O	O	Petitioner
201	009a49ab1cdf44be9fbfdb26377c9a68	401	1820	1824	B-LAWYER	B-LAWYER	Ajay
202	009a49ab1cdf44be9fbfdb26377c9a68	402	1825	1830	I-LAWYER	I-LAWYER	Kumar
203	009a49ab1cdf44be9fbfdb26377c9a68	403	1831	1836	I-LAWYER	I-LAWYER	Singh
204	009a49ab1cdf44be9fbfdb26377c9a68	405	1837	1843	I-LAWYER	I-LAWYER	Ashish
205	009a49ab1cdf44be9fbfdb26377c9a68	406	1844	1849	I-LAWYER	I-LAWYER	Kumar
206	009a49ab1cdf44be9fbfdb26377c9a68	407	1850	1855	I-LAWYER	I-LAWYER	Singh
207	009a49ab1cdf44be9fbfdb26377c9a68	409	1858	1865	O	O	Counsel
208	009a49ab1cdf44be9fbfdb26377c9a68	411	1870	1880	O	O	Respondent
209	009a49ab1cdf44be9fbfdb26377c9a68	414	1884	1895	B-LAWYER	B-LAWYER	C.S.C.,P.K.
210	009a49ab1cdf44be9fbfdb26377c9a68	415	1896	1904	I-LAWYER	I-LAWYER	Upadhyay
211	009a49ab1cdf44be9fbfdb26377c9a68	417	1905	1911	I-LAWYER	I-LAWYER	Vineet
212	009a49ab1cdf44be9fbfdb26377c9a68	418	1912	1919	I-LAWYER	I-LAWYER	Sankalp
213	009a49ab1cdf44be9fbfdb26377c9a68	420	1925	1932	O	O	Hon'ble
214	009a49ab1cdf44be9fbfdb26377c9a68	421	1933	1935	B-JUDGE	B-JUDGE	B.
215	009a49ab1cdf44be9fbfdb26377c9a68	422	1936	1940	I-JUDGE	I-JUDGE	Amit
216	009a49ab1cdf44be9fbfdb26377c9a68	423	1941	1950	I-JUDGE	I-JUDGE	Sthalekar
217	009a49ab1cdf44be9fbfdb26377c9a68	425	1951	1953	O	O	J.
218	009a49ab1cdf44be9fbfdb26377c9a68	427	1956	1963	O	O	Hon'ble
219	009a49ab1cdf44be9fbfdb26377c9a68	428	1964	1970	B-JUDGE	B-JUDGE	Piyush
220	009a49ab1cdf44be9fbfdb26377c9a68	429	1971	1978	I-JUDGE	I-JUDGE	Agrawal
221	009a49ab1cdf44be9fbfdb26377c9a68	431	1979	1981	O	O	J.
222	00ce7b4f0b284fbc9ed870abe8e62238	0	0	10	O	O	Reportable
223	00ce7b4f0b284fbc9ed870abe8e62238	4	54	61	B-COURT	B-COURT	Supreme
224	00ce7b4f0b284fbc9ed870abe8e62238	5	62	67	I-COURT	I-COURT	Court
225	00ce7b4f0b284fbc9ed870abe8e62238	7	71	76	I-COURT	I-COURT	India
226	00ce7b4f0b284fbc9ed870abe8e62238	9	114	119	O	O	Civil
227	00ce7b4f0b284fbc9ed870abe8e62238	10	120	129	O	O	Appellate
228	00ce7b4f0b284fbc9ed870abe8e62238	11	130	142	O	O	Jurisdiction
229	00ce7b4f0b284fbc9ed870abe8e62238	13	181	186	O	O	Civil
230	00ce7b4f0b284fbc9ed870abe8e62238	14	187	193	O	O	Appeal
231	00ce7b4f0b284fbc9ed870abe8e62238	15	194	200	O	O	No.323
232	00ce7b4f0b284fbc9ed870abe8e62238	17	204	208	O	O	2021
233	00ce7b4f0b284fbc9ed870abe8e62238	19	221	226	B-PETITIONER	B-PETITIONER	Asset
234	00ce7b4f0b284fbc9ed870abe8e62238	20	227	241	I-PETITIONER	I-PETITIONER	Reconstruction
235	00ce7b4f0b284fbc9ed870abe8e62238	21	242	249	I-PETITIONER	I-PETITIONER	Company
236	00ce7b4f0b284fbc9ed870abe8e62238	24	262	267	I-PETITIONER	I-PETITIONER	India
237	00ce7b4f0b284fbc9ed870abe8e62238	26	269	276	I-PETITIONER	I-PETITIONER	Limited
238	00ce7b4f0b284fbc9ed870abe8e62238	29	318	327	O	O	Appellant
239	00ce7b4f0b284fbc9ed870abe8e62238	31	378	384	O	O	Versus
240	00ce7b4f0b284fbc9ed870abe8e62238	33	397	403	B-RESPONDENT	B-RESPONDENT	Bishal
241	00ce7b4f0b284fbc9ed870abe8e62238	34	404	411	I-RESPONDENT	I-RESPONDENT	Jaiswal
242	00ce7b4f0b284fbc9ed870abe8e62238	36	414	417	O	O	Anr
243	00ce7b4f0b284fbc9ed870abe8e62238	40	454	465	O	O	Respondents
244	00ce7b4f0b284fbc9ed870abe8e62238	44	562	567	O	O	Civil
245	00ce7b4f0b284fbc9ed870abe8e62238	45	568	574	O	O	Appeal
246	00ce7b4f0b284fbc9ed870abe8e62238	46	575	582	O	O	No.3228
247	00ce7b4f0b284fbc9ed870abe8e62238	48	586	590	O	O	2020
248	00ce7b4f0b284fbc9ed870abe8e62238	50	630	635	O	O	Civil
249	00ce7b4f0b284fbc9ed870abe8e62238	51	636	642	O	O	Appeal
250	00ce7b4f0b284fbc9ed870abe8e62238	52	643	650	O	O	No.3765
251	00ce7b4f0b284fbc9ed870abe8e62238	54	654	658	O	O	2020
252	00ce7b4f0b284fbc9ed870abe8e62238	56	700	705	O	O	Civil
253	00ce7b4f0b284fbc9ed870abe8e62238	57	706	712	O	O	Appeal
254	00ce7b4f0b284fbc9ed870abe8e62238	58	713	717	O	O	No.3
255	00ce7b4f0b284fbc9ed870abe8e62238	60	721	725	O	O	2021
256	00ce7b4f0b284fbc9ed870abe8e62238	62	764	769	O	O	Civil
257	00ce7b4f0b284fbc9ed870abe8e62238	63	770	776	O	O	Appeal
258	00ce7b4f0b284fbc9ed870abe8e62238	68	792	796	O	O	2021
259	00ce7b4f0b284fbc9ed870abe8e62238	72	840	845	O	O	Slp(C
260	00ce7b4f0b284fbc9ed870abe8e62238	74	847	854	O	O	No.1168
261	00ce7b4f0b284fbc9ed870abe8e62238	76	858	862	O	O	2021
262	00ce7b4f0b284fbc9ed870abe8e62238	79	912	920	O	O	Judgment
263	0160abf03b5241e7b4a2e51d9d6a786f	3	14	19	O	O	heard
264	0160abf03b5241e7b4a2e51d9d6a786f	4	20	28	O	O	storming
265	0160abf03b5241e7b4a2e51d9d6a786f	5	29	38	O	O	arguments
266	0160abf03b5241e7b4a2e51d9d6a786f	8	46	51	O	O	point
267	0160abf03b5241e7b4a2e51d9d6a786f	11	59	66	O	O	ceiling
268	0160abf03b5241e7b4a2e51d9d6a786f	12	67	74	O	O	imposed
269	0160abf03b5241e7b4a2e51d9d6a786f	15	82	86	B-COURT	B-COURT	Apex
270	0160abf03b5241e7b4a2e51d9d6a786f	16	87	92	I-COURT	I-COURT	Court
271	0160abf03b5241e7b4a2e51d9d6a786f	18	96	103	O	O	matters
272	0160abf03b5241e7b4a2e51d9d6a786f	20	107	118	O	O	reservation
273	0160abf03b5241e7b4a2e51d9d6a786f	24	128	136	O	O	judgment
274	0160abf03b5241e7b4a2e51d9d6a786f	26	140	147	B-OTHER_PERSON	B-OTHER_PERSON	Archana
275	0160abf03b5241e7b4a2e51d9d6a786f	27	148	153	I-OTHER_PERSON	I-OTHER_PERSON	Reddy
276	0160abf03b5241e7b4a2e51d9d6a786f	30	161	167	B-COURT	B-COURT	Andhra
277	0160abf03b5241e7b4a2e51d9d6a786f	31	168	175	I-COURT	I-COURT	Pradesh
278	0160abf03b5241e7b4a2e51d9d6a786f	32	176	180	I-COURT	I-COURT	High
279	0160abf03b5241e7b4a2e51d9d6a786f	33	181	186	I-COURT	I-COURT	Court
280	0160abf03b5241e7b4a2e51d9d6a786f	35	190	197	O	O	heavily
281	0160abf03b5241e7b4a2e51d9d6a786f	36	198	204	O	O	relied
282	0160abf03b5241e7b4a2e51d9d6a786f	42	224	233	O	O	conscious
283	0160abf03b5241e7b4a2e51d9d6a786f	46	246	253	O	O	percent
284	0160abf03b5241e7b4a2e51d9d6a786f	48	257	268	O	O	reservation
285	0160abf03b5241e7b4a2e51d9d6a786f	50	275	284	O	O	conferred
286	0160abf03b5241e7b4a2e51d9d6a786f	53	292	297	O	O	State
287	0160abf03b5241e7b4a2e51d9d6a786f	55	306	318	O	O	quantifiable
288	0160abf03b5241e7b4a2e51d9d6a786f	56	319	323	O	O	data
289	01e75b24c74445ca8a213970dfd12182	1	3	9	B-OTHER_PERSON	B-OTHER_PERSON	Ankush
290	01e75b24c74445ca8a213970dfd12182	2	10	16	I-OTHER_PERSON	I-OTHER_PERSON	Maruti
291	01e75b24c74445ca8a213970dfd12182	3	17	23	I-OTHER_PERSON	I-OTHER_PERSON	Shinde
292	01e75b24c74445ca8a213970dfd12182	5	25	30	O	O	supra
293	01e75b24c74445ca8a213970dfd12182	8	33	40	O	O	Hon'ble
294	01e75b24c74445ca8a213970dfd12182	9	41	45	B-COURT	B-COURT	Apex
295	01e75b24c74445ca8a213970dfd12182	10	46	51	I-COURT	I-COURT	Court
296	01e75b24c74445ca8a213970dfd12182	12	56	64	O	O	observed
297	01e75b24c74445ca8a213970dfd12182	14	68	75	O	O	under:-
298	01e75b24c74445ca8a213970dfd12182	19	85	96	O	O	culmination
299	01e75b24c74445ca8a213970dfd12182	22	102	110	O	O	criminal
